SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-352,,,,,
90th,Mon,3791 Nissan / 21,342 Xanthikos / 20,Adar / 20,Peret Pharmouthi 18,784 Aprilis / 2,31 Apr \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-353,,,,,
91st,Tue,3791 Nissan / 22,342 Xanthikos / 21,Adar / 21,Peret Pharmouthi 19,784 Aprilis / 3,31 Apr \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-354,,,,,
92nd,Wed,3791 Nissan / 23,342 Xanthikos / 22,Adar / 22,Peret Pharmouthi 20,784 Aprilis / 4,31 Apr \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-355,,,,,
93rd,Thu,3791 Nissan / 24,342 Xanthikos / 23,Adar / 23,Peret Pharmouthi 21,784 Aprilis / 5,31 Apr \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-356,,,,,
94th,Fri,3791 Nissan / 25,342 Xanthikos / 24,Adar / 24,Peret Pharmouthi 22,784 Aprilis / 6,31 Apr \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-357,,,,,
95th,Sat,3791 Nissan / 26,342 Xanthikos / 25,Adar / 25,Peret Pharmouthi 23,784 Aprilis / 7,31 Apr \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-358,,,,,
96th,Sun,3791 Nissan / 27,342 Xanthikos / 26,Adar / 26,Peret Pharmouthi 24,784 Aprilis / 8,31 Apr \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-359,,,,,
97th,Mon,3791 Nissan / 28,342 Xanthikos / 27,Adar / 27,Peret Pharmouthi 25,784 Aprilis / 9,31 Apr \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-360,,,,,
98th,Tue     New,3791 Nissan / 29,342 Xanthikos / 28,Adar / 28,Peret Pharmouthi 26,784 Aprilis / 10,31 Apr \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-1,,,,,
99th,Wed,3791 Nissan / 30,342 Xanthikos / 29,Adar / 29,Peret Pharmouthi 27,784 Aprilis / 11,31 Apr \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-2,,,,,
100th,Thu,3791 Iyar / 1,342 Artemisios / 1,Nisan / 1,Peret Pharmouthi 28,784 Aprilis / 12,31 Apr \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-3,,|-----Aretas IV Philopatris king of Nabatean Kingdom (Petra) 22 years,,,
101st,Fri,3791 Iyar / 2,342 Artemisios / 2,Nisan / 2,Peret Pharmouthi 29,784 Aprilis / 13,31 Apr \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-4,,,,,
102nd,Sat,3791 Iyar / 3,342 Artemisios / 3,Nisan / 3,Peret Pharmouthi 30,784 Aprilis / 14,31 Apr \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-5,,,,,
103rd,Sun,3791 Iyar / 4,342 Artemisios / 4,Nisan / 4,Shemu Pachons 1,784 Aprilis / 15,31 Apr \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-6,,,,,
104th,Mon,3791 Iyar / 5,342 Artemisios / 5,Nisan / 5,Shemu Pachons 2,784 Aprilis / 16,31 Apr \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-7,,,,,
105th,Tue,3791 Iyar / 6,342 Artemisios / 6,Nisan / 6,Shemu Pachons 3,784 Aprilis / 17,31 Apr \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-8,,,,,
106th,Wed,3791 Iyar / 7,342 Artemisios / 7,Nisan / 7,Shemu Pachons 4,784 Aprilis / 18,31 Apr \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-9,,,,,
107th,Thu,3791 Iyar / 8,342 Artemisios / 8,Nisan / 8,Shemu Pachons 5,784 Aprilis / 19,31 Apr \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-10,,,,,
108th,Fri,3791 Iyar / 9,342 Artemisios / 9,Nisan / 9,Shemu Pachons 6,784 Aprilis / 20,31 Apr \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-11,,,,,
109th,Sat,3791 Iyar / 10,342 Artemisios / 10,Nisan / 10,Shemu Pachons 7,784 Aprilis / 21,31 Apr \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-12,,,,,
110th,Sun,3791 Iyar / 11,342 Artemisios / 11,Nisan / 11,Shemu Pachons 8,784 Aprilis / 22,31 Apr \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-13,,,,,
111th,Mon,3791 Iyar / 12,342 Artemisios / 12,Nisan / 12,Shemu Pachons 9,784 Aprilis / 23,31 Apr \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-14,,,,,
112th,Tue,3791 Iyar / 13,342 Artemisios / 13,Nisan / 13,Shemu Pachons 10,784 Aprilis / 24,31 Apr \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-15,,,,,
113th,Wed     Full,3791 Iyar / 14,342 Artemisios / 14,Nisan / 14,Shemu Pachons 11,784 Aprilis / 25,31 Apr \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-16,,,,,
114th,Thu,3791 Iyar / 15,342 Artemisios / 15,Nisan / 15,Shemu Pachons 12,784 Aprilis / 26,31 Apr \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-17,,,,,
115th,Fri,3791 Iyar / 16,342 Artemisios / 16,Nisan / 16,Shemu Pachons 13,784 Aprilis / 27,31 Apr \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-18,,,,,
116th,Sat,3791 Iyar / 17,342 Artemisios / 17,Nisan / 17,Shemu Pachons 14,784 Aprilis / 28,31 Apr \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-19,,,,,
117th,Sun,3791 Iyar / 18,342 Artemisios / 18,Nisan / 18,Shemu Pachons 15,784 Aprilis / 29,31 Apr \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-20,,,,,
118th,Mon,3791 Iyar / 19,342 Artemisios / 19,Nisan / 19,Shemu Pachons 16,784 Aprilis / 30,31 Apr \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-21,,,,,
119th,Tue,3791 Iyar / 20,342 Artemisios / 20,Nisan / 20,Shemu Pachons 17,784 Maius / 1,31 May \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-22,,,,,
120th,Wed,3791 Iyar / 21,342 Artemisios / 21,Nisan / 21,Shemu Pachons 18,784 Maius / 2,31 May \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-23,,,,,
121st,Thu,3791 Iyar / 22,342 Artemisios / 22,Nisan / 22,Shemu Pachons 19,784 Maius / 3,31 May \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-24,,,,,
122nd,Fri,3791 Iyar / 23,342 Artemisios / 23,Nisan / 23,Shemu Pachons 20,784 Maius / 4,31 May \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-25,,,,,
123rd,Sat,3791 Iyar / 24,342 Artemisios / 24,Nisan / 24,Shemu Pachons 21,784 Maius / 5,31 May \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-26,,,,,
124th,Sun,3791 Iyar / 25,342 Artemisios / 25,Nisan / 25,Shemu Pachons 22,784 Maius / 6,31 May \ 6
