SOLAR,8212 L,JULIAN AUC,HISTORICAL
38th,Fri,965 L Februarius / 7,212 L Feb / 7
39th,Sat,965 L Februarius / 8,212 L Feb / 8
40th,Sun,965 L Februarius / 9,212 L Feb / 9
41st,Mon,965 L Februarius / 10,212 L Feb / 10
42nd,Tue,965 L Februarius / 11,212 L Feb / 11
43rd,Wed,965 L Februarius / 12,212 L Feb / 12
44th,Thu,965 L Februarius / 13,212 L Feb / 13
45th,Fri,965 L Februarius / 14,212 L Feb / 14
46th,Sat,965 L Februarius / 15,212 L Feb / 15
47th,Sun,965 L Februarius / 16,212 L Feb / 16
48th,Mon,965 L Februarius / 17,212 L Feb / 17
