SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
81st,Tue,3760 L Adar II / 29,311 Xanthikos / 27,Amartata / 8,PERET Phamenoth / 26,753 Martius \ 22,1 BC L Mar \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-181,,,,,
82nd,Wed     New Moon,3760 L Adar II / 30,311 Xanthikos / 28,Amartata / 9,PERET Phamenoth / 27,753 Martius \ 23,1 BC L Mar \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-182,,,,,
83rd,Thu,3760 Nisan / 1,311 Xanthikos / 29,Amartata / 10,PERET Phamenoth / 28,753 Martius \ 24,1 BC L Mar \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-183,,,,,
84th,Fri,3760 Nisan / 2,311 Artemisos / 1,Amartata / 11,PERET Phamenoth / 29,753 Martius \ 25,1 BC L Mar \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-184,,,,,
85th,Sat,3760 Nisan / 3,311 Artemisos / 2,Amartata / 12,PERET Phamenoth / 30,753 Martius \ 26,1 BC L Mar \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-185,,,,,
86th,Sun,3760 Nisan / 4,311 Artemisos / 3,Amartata / 13,PERET Pharmuthi / 1,753 Martius \ 27,1 BC L Mar \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-186,,,,,
87th,Mon,3760 Nisan / 5,311 Artemisos / 4,Amartata / 14,PERET Pharmuthi / 2,753 Martius \ 28,1 BC L Mar \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-187,,,,,
88th,Tue,3760 Nisan / 6,311 Artemisos / 5,Amartata / 15,PERET Pharmuthi / 3,753 Martius \ 29,1 BC L Mar \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-188,,,,,
89th,Wed,3760 Nisan / 7,311 Artemisos / 6,Amartata / 16,PERET Pharmuthi / 4,753 Martius \ 30,1 BC L Mar \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-189,,,,,
90th,Thu,3760 Nisan / 8,311 Artemisos / 7,Amartata / 17,PERET Pharmuthi / 5,753 Martius \ 31,1 BC L Apr \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-190,,,,,
91st,Fri,3760 Nisan / 9,311 Artemisos / 8,Amartata / 18,PERET Pharmuthi / 6,753 Aprilis \ 1,1 BC L Apr \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-191,,,,,
92nd,Sat,3760 Nisan / 10,311 Artemisos / 9,Amartata / 19,PERET Pharmuthi / 7,753 Aprilis \ 2,1 BC L Apr \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-192,,,,,
93rd,Sun,3760 Nisan / 11,311 Artemisos / 10,Amartata / 20,PERET Pharmuthi / 8,753 Aprilis \ 3,1 BC L Apr \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-193,,,,,
94th,Mon,3760 Nisan / 12,311 Artemisos / 11,Amartata / 21,PERET Pharmuthi / 9,753 Aprilis \ 4,1 BC L Apr \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-194,,,,,
