SOLAR,9948 L,HEBREW,ISLAMIC,GREGORIAN 1948
151st,Sun,5708 L Iyyar / 21,1367 Rajab / 21,May / 30
152nd,Mon,5708 L Iyyar / 22,1367 Rajab / 22,May / 31
153rd,Tue,5708 L Iyyar / 23,1367 Rajab / 23,June / 1
154th,Wed,5708 L Iyyar / 24,1367 Rajab / 24,June / 2
155th,Thu,5708 L Iyyar / 25,1367 Rajab / 25,June / 3
156th,Fri,5708 L Iyyar / 26,1367 Rajab / 26,June / 4
157th,Sat,5708 L Iyyar / 27,1367 Rajab / 27,June / 5
158th,Sun,5708 L Iyyar / 28,1367 Rajab / 28,June / 6
159th,Mon     New,5708 L Iyyar / 29,1367 Rajab / 29,June / 7
160th S,Tue,5708 L Sivan / 1,1367 Rajab / 30,June / 8
161st,Wed,5708 L Sivan / 2,1367 Sha'ban / 1,June / 9
162nd,Thu,5708 L Sivan / 3,1367 Sha'ban / 2,June / 10
163rd,Fri,5708 L Sivan / 4,1367 Sha'ban / 3,June / 11
164th,Sat,5708 L Sivan / 5,1367 Sha'ban / 4,June / 12
165th,Sun,5708 L Sivan / 6,1367 Sha'ban / 5,June / 13
166th,Mon,5708 L Sivan / 7,1367 Sha'ban / 6,June / 14
167th,Tue,5708 L Sivan / 8,1367 Sha'ban / 7,June / 15
168th,Wed,5708 L Sivan / 9,1367 Sha'ban / 8,June / 16
169th,Thu,5708 L Sivan / 10,1367 Sha'ban / 9,June / 17
170th,Fri,5708 L Sivan / 11,1367 Sha'ban / 10,June / 18
171st,Sat,5708 L Sivan / 12,1367 Sha'ban / 11,June / 19
172nd,Sun,5708 L Sivan / 13,1367 Sha'ban / 12,June / 20
173rd,Mon     Full,5708 L Sivan / 14,1367 Sha'ban / 13,June / 21
174th,Tue,5708 L Sivan / 15,1367 Sha'ban / 14,June / 22
175th,Wed,5708 L Sivan / 16,1367 Sha'ban / 15,June / 23
176th,Thu,5708 L Sivan / 17,1367 Sha'ban / 16,June / 24
177th,Fri,5708 L Sivan / 18,1367 Sha'ban / 17,June / 25
178th,Sat,5708 L Sivan / 19,1367 Sha'ban / 18,June / 26
179th,Sun,5708 L Sivan / 20,1367 Sha'ban / 19,June / 27
180th,Mon,5708 L Sivan / 21,1367 Sha'ban / 20,June / 28
181st,Tue,5708 L Sivan / 22,1367 Sha'ban / 21,June / 29
182nd,Wed,5708 L Sivan / 23,1367 Sha'ban / 22,June / 30
183rd,Thu,5708 L Sivan / 24,1367 Sha'ban / 23,July / 1
184th,Fri,5708 L Sivan / 25,1367 Sha'ban / 24,July / 2
185th,Sat,5708 L Sivan / 26,1367 Sha'ban / 25,July / 3
186th,Sun,5708 L Sivan / 27,1367 Sha'ban / 26,July / 4
187th,Mon,5708 L Sivan / 28,1367 Sha'ban / 27,July / 5
188th,Tue     New,5708 L Sivan / 29,1367 Sha'ban / 28,July / 6
189th,Wed,5708 L Sivan / 30,1367 Sha'ban / 29,July / 7
190th,Thu,5708 L Tammuz / 1,1367 Ramadan / 1,July / 8
191st,Fri,5708 L Tammuz / 2,1367 Ramadan / 2,July / 9
192nd,Sat,5708 L Tammuz / 3,1367 Ramadan / 3,July / 10
193rd,Sun,5708 L Tammuz / 4,1367 Ramadan / 4,July / 11
194th,Mon,5708 L Tammuz / 5,1367 Ramadan / 5,July / 12
195th,Tue,5708 L Tammuz / 6,1367 Ramadan / 6,July / 13
196th,Wed,5708 L Tammuz / 7,1367 Ramadan / 7,July / 14
197th,Thu,5708 L Tammuz / 8,1367 Ramadan / 8,July / 15
198th,Fri,5708 L Tammuz / 9,1367 Ramadan / 9,July / 16
199th,Sat,5708 L Tammuz / 10,1367 Ramadan / 10,July / 17
200th,Sun,5708 L Tammuz / 11,1367 Ramadan / 11,July / 18
201st,Mon,5708 L Tammuz / 12,1367 Ramadan / 12,July / 19
202nd,Tue,5708 L Tammuz / 13,1367 Ramadan / 13,July / 20
203rd,Wed     Full,5708 L Tammuz / 14,1367 Ramadan / 14,July / 21
204th,Thu,5708 L Tammuz / 15,1367 Ramadan / 15,July / 22
205th,Fri,5708 L Tammuz / 16,1367 Ramadan / 16,July / 23
206th,Sat,5708 L Tammuz / 17,1367 Ramadan / 17,July / 24
207th,Sun,5708 L Tammuz / 18,1367 Ramadan / 18,July / 25
208th,Mon,5708 L Tammuz / 19,1367 Ramadan / 19,July / 26
209th,Tue,5708 L Tammuz / 20,1367 Ramadan / 20,July / 27
210th,Wed,5708 L Tammuz / 21,1367 Ramadan / 21,July / 28
211th,Thu,5708 L Tammuz / 22,1367 Ramadan / 22,July / 29
212th,Fri,5708 L Tammuz / 23,1367 Ramadan / 23,July / 30
213th,Sat,5708 L Tammuz / 24,1367 Ramadan / 24,July / 31
214th,Sun,5708 L Tammuz / 25,1367 Ramadan / 25,August / 1
215th,Mon,5708 L Tammuz / 26,1367 Ramadan / 26,August / 2
216th,Tue,5708 L Tammuz / 27,1367 Ramadan / 27,August / 3
217th,Wed,5708 L Tammuz / 28,1367 Ramadan / 28,August / 4
218th,Thu     New,5708 L Tammuz / 29,1367 Ramadan / 29,August / 5
219th,Fri,5708 L Av / 1,1367 Ramadan / 30,August / 6
220th,Sat,5708 L Av / 2,1367 Shawwal / 1,August / 7
221st,Sun,5708 L Av / 3,1367 Shawwal / 2,August / 8
222nd,Mon,5708 L Av / 4,1367 Shawwal / 3,August / 9
223rd,Tue,5708 L Av / 5,1367 Shawwal / 4,August / 10
224th,Wed,5708 L Av / 6,1367 Shawwal / 5,August / 11
225th,Thu,5708 L Av / 7,1367 Shawwal / 6,August / 12
226th,Fri,5708 L Av / 8,1367 Shawwal / 7,August / 13
227th,Sat,5708 L Av / 9,1367 Shawwal / 8,August / 14
228th,Sun,5708 L Av / 10,1367 Shawwal / 9,August / 15
229th,Mon,5708 L Av / 11,1367 Shawwal / 10,August / 16
230th,Tue,5708 L Av / 12,1367 Shawwal / 11,August / 17
231st,Wed,5708 L Av / 13,1367 Shawwal / 12,August / 18
232nd,Thu     Full,5708 L Av / 14,1367 Shawwal / 13,August / 19
233rd,Fri,5708 L Av / 15,1367 Shawwal / 14,August / 20
234th,Sat,5708 L Av / 16,1367 Shawwal / 15,August / 21
235th,Sun,5708 L Av / 17,1367 Shawwal / 16,August / 22
236th,Mon,5708 L Av / 18,1367 Shawwal / 17,August / 23
237th,Tue,5708 L Av / 19,1367 Shawwal / 18,August / 24
238th,Wed,5708 L Av / 20,1367 Shawwal / 19,August / 25
239th,Thu,5708 L Av / 21,1367 Shawwal / 20,August / 26
240th,Fri,5708 L Av / 22,1367 Shawwal / 21,August / 27
241st,Sat,5708 L Av / 23,1367 Shawwal / 22,August / 28
242nd,Sun,5708 L Av / 24,1367 Shawwal / 23,August / 29
243rd,Mon,5708 L Av / 25,1367 Shawwal / 24,August / 30
244th,Tue,5708 L Av / 26,1367 Shawwal / 25,August / 31
245th,Wed,5708 L Av / 27,1367 Shawwal / 26,September / 1
246th,Thu,5708 L Av / 28,1367 Shawwal / 27,September / 2
247th,Fri     New,5708 L Av / 29,1367 Shawwal / 28,September / 3
248th,Sat,5708 L Av / 30,1367 Shawwal / 29,September / 4
249th,Sun,5708 L Elul / 1,1367 Dhu l-Qa'da / 1,September / 5
250th,Mon,5708 L Elul / 2,1367 Dhu l-Qa'da / 2,September / 6
251st,Tue,5708 L Elul / 3,1367 Dhu l-Qa'da / 3,September / 7
252nd,Wed,5708 L Elul / 4,1367 Dhu l-Qa'da / 4,September / 8
253rd,Thu,5708 L Elul / 5,1367 Dhu l-Qa'da / 5,September / 9
254th,Fri,5708 L Elul / 6,1367 Dhu l-Qa'da / 6,September / 10
255th,Sat,5708 L Elul / 7,1367 Dhu l-Qa'da / 7,September / 11
256th,Sun,5708 L Elul / 8,1367 Dhu l-Qa'da / 8,September / 12
